ID,JMENO1,JMENO2,DATUM1,DATUM2
1,"akad. arch. Katya Mitáčková, prof.","Teodora PRÍGLOVÁ, Th.D.",1996-12-02,1970-07-15
2,"AMÉLIE, NETRESTOVÁ, PharmDr., DSc.",Johan Mikloviczová,1964-12-22,1958-04-29
3,"JONNIE, J., RSDr.","Mgr. SANEM, RUNDŠTUK, RCDr.",2001-02-26,1972-06-13
4,"RAYAAN LANČIOVÁ, odb. as., as.","Ing. arch. D., KROBOTHOVÁ",1976-02-13,1949-07-15
5,"PharmDr. IULIA, R.","Ing. arch. CALLE KALNIKOVÁ, as., DrSc.",1948-12-01,1949-02-19
6,"PhMr. ALISON TLAMICHOVÁ, MUDr., ak. mal.","DSc. HELMKE N., PaedDr.",2001-12-13,1942-04-22
7,D. VOZNICKÁ,"MELÁNIE I., Mgr.",1974-06-14,1973-03-22
8,"ThMgr. A. WROBLEWSKI, MgA., Th.D.","VIKA Hachler, akad. arch.",2005-12-15,1999-12-13
9,"Gamál, SLYVINSKYJ","MAUD, Š., MgA., ak. soch.",1942-08-05,1965-11-08
10,"Mor Amalová, prof.","Sukai, PFALLER, Th.D.",1982-11-19,1964-05-25
11,"BOREK, VERBA, ThLic.","PharmDr. ÇEÇEN  Bürki, Th.D., ThDr.",1972-06-04,1970-01-25
12,MVDr. PARASKA M.,"ADRIA G., MDDr., MSDr., MUDr.",1971-01-24,1974-01-13
13,"IRENES, Podrapský, MUDr.","Rocco KOSTURKOVÁ, PharmDr., ak. mal.",1993-06-26,1956-08-25
14,"Angelína, FILOVJAT, DSc., ak. soch.","prof. Oqooqummaaq, Sůček, RNDr., DSc.",1950-11-27,1950-02-22
15,"ELIE Š., Ing. arch., ThMgr.",Eline STALLECKEROVÁ,1940-11-25,1982-12-10
16,"Ing. arch. Taratsi, STOKOLOS","DOMINÍK HĂUSLEROVÁ, RTDr., Ph.D.",1992-04-10,1984-04-11
17,"JUDr. Nicholas, LIGAUNOVÁ, doc.","Hildemut ŠALING, prof.",1951-04-06,1981-02-26
18,"Kalle, BELOHOUBEK, BcA.",REEM Manzi,1944-06-16,1983-07-17
19,"W. RECMANNOVÁ, MSDr., Dr.","MSDr. JOYCE D., Bc., Dr.",1973-09-26,1960-05-04
20,"Sagdiç  KALECKI, Mgr., ThMgr.","ARIAN Barbuščák, MSDr., Dr.",1954-12-18,2001-10-24
21,"APOLÉNA DEREŽICKIJ, prof., JUDr., Mgr.","WAEL, M., RCDr., MSDr.",2001-12-28,1962-12-07
22,"K., THUROCZY, RTDr.","ALICJA, MATVIAK, BcA.",1964-02-18,1996-01-24
23,"PEGGY, Jankelová, DSc., Bc.","Aluusaq  ERGEN, PaedDr.",1982-10-19,1978-11-08
24,"PharmDr. Anca RYBIANSKÁ, CSc., ak. mal.","Dr. Peri WOČADLOVÁ, ak. mal.",1947-02-01,1974-07-03
25,as. Anneli Horková,"PEPPE, KAISSER, Mgr., PhMr.",1992-01-17,1978-04-17
26,"NUKUNA, N., Mgr., DSc., ak. mal.",Ljudmyla KROMANNOVÁ,1985-10-21,1965-02-24
27,"EKKE, Gjurišič","T. CZABE, CSc., Ph.D., PhDr.",1959-12-03,1985-11-25
28,PharmDr. T. KLIK,"ak. soch. SUNTJE, Stražovec",1977-07-20,1996-10-25
29,"ALBERTE, Grebenarová, odb. as., RTDr., Dr.","Ph.D. LIYA, Gierichová",1974-06-14,1954-05-22
30,"Allison Forišová, odb. as., Bc.","Arhild, Salov, Dr., CSc.",1938-02-09,1969-12-17
31,"Gisela JAŠUREK, Dr., Ph.D., RNDr.","MDDr. Sascha, Brochier, ThDr.",1939-04-26,1933-08-14
32,"Gubb DŐMME, PhMr., ThDr.","ZEINAB Radianská, RNDr., ThMgr., Ing.",1988-09-18,1935-12-22
33,"YSKE Purtíková, Th.D., ak. soch.","Mingo Schimitzek, ak. soch., DrSc., PhMr.",1941-08-08,1947-10-26
34,"G. HORČIČKOVÁ, Bc., ThMgr.","K., GARROD",1990-02-06,1970-03-05
35,"Mlada TATKA, Bc., PhMr.","AYRAL, OUPĚCHA, PharmDr., odb. as.",1992-11-10,1940-02-22
36,"JELSKE ŠATERA, PharmDr., PaedDr., PhDr.","ŠTEFÁNIE Schnircz, prof., DrSc., ThDr.",1998-01-27,1961-10-03
37,"KRISTI, Broučil, DSc.","CSc. Qaavigaq Mučičová, RSDr., akad. arch.",1933-11-07,1965-07-11
38,"E., ZAPPOVÁ, Mgr.","Mateusz ROSTÁSOVÁ, doc., PhMr.",1975-03-22,2005-11-04
39,"JOSIA S., MDDr.","MVDr. H. BOČEJ, RNDr., ThMgr.",2006-01-05,1984-05-07
40,"K., VALDÉS, Bc., Dr.",ROZALIA Š.,1959-03-11,1990-01-16
41,"Shamsi, Rašín, MUDr., ak. mal.","SEEL, S., odb. as., MSDr.",1983-07-29,1994-06-28
42,"Vinny, FILKA, Mgr., ThDr., Dr.","MVDr. AISHA SAJLER, ak. mal.",1959-03-12,1961-12-27
43,ThMgr. Ilkim Jasoňková,"YAKOV K., BcA., MSDr.",1960-10-04,1944-01-25
44,"LAĎKA MIRVIS, MVDr.",STAVRULA P.,1998-05-18,1934-04-01
45,"R., BOUCHAIB, Ph.D., Ing. arch.",prof. GRACIJA Zulka,1980-12-20,2005-06-17
46,"TOMISLAV D., Ing., PhMr.","Faith, Idźczak",1960-08-15,1979-12-04
47,"Bc. ŽAKELÍNA, TIFOVÁ, PhMr.","Ikraam CHUCHVÁLEK, MUDr., ak. mal.",1981-05-28,1962-10-20
48,"Ciar Matulák, BcA., MVDr.","L., POGRANOVÁ, PhMr.",1986-08-12,1935-10-17
49,"Ing. Luka, Kabrlová","Drahomír ŠOKI, BcA., prof.",1940-11-12,1934-06-28
50,"GRA, TELMANÍKOVÁ, PhMr., doc.","VITALIY, BRAŠIKOVÁ, Mgr.",1959-12-03,1997-05-26
